iter	Passed	Remaining
400	29836	44568
401	29887	44459
402	29961	44384
403	30011	44274
404	30084	44198
405	30147	44107
406	30207	44013
407	30257	43903
408	30314	43804
409	30378	43714
410	30428	43607
411	30498	43527
412	30562	43439
413	30638	43367
414	30698	43273
415	30759	43181
416	30834	43109
417	30910	43038
418	30994	42978
419	31057	42888
420	31110	42786
421	31193	42724
422	31254	42633
423	31313	42538
424	31369	42440
425	31445	42370
426	31496	42265
427	31564	42184
428	31611	42074
429	31665	41974
430	31726	41884
431	31778	41783
432	31842	41696
433	31903	41606
434	31997	41559
435	32050	41459
436	32107	41365
437	32166	41273
438	32225	41181
439	32286	41091
440	32353	41009
441	32419	40927
442	32480	40838
443	32533	40739
444	32602	40661
445	32680	40594
446	32755	40523
447	32805	40420
448	32886	40357
449	32973	40301
450	33029	40206
451	33092	40120
452	33152	40031
453	33231	39965
454	33289	39873
455	33364	39802
456	33436	39729
457	33483	39625
458	33544	39536
459	33604	39449
460	33677	39375
461	33720	39268
462	33772	39170
463	33837	39088
464	33896	38999
465	33951	38905
466	34037	38848
467	34104	38768
468	34152	38667
469	34216	38584
470	34269	38489
471	34316	38388
472	34382	38308
473	34456	38236
474	34535	38170
475	34603	38092
476	34675	38019
477	34727	37924
478	34810	37863
479	34868	37774
480	34922	37681
481	34999	37613
482	35051	37518
483	35132	37455
484	35188	37364
485	35250	37280
486	35300	37184
487	35357	37096
488	35433	37027
489	35489	36937
490	35558	36862
491	35624	36783
492	35703	36717
493	35771	36640
494	35833	36556
495	35921	36500
496	35975	36409
497	36029	36319
498	36104	36249
499	36196	36196
500	36282	36137
501	36353	36063
502	36402	35968
503	36450	35871
504	36529	35806
505	36593	35725
506	36646	35634
507	36738	35580
508	36809	35507
509	36859	35414
510	36936	35345
511	36994	35260
512	37084	35205
513	37138	35115
514	37209	35042
515	37277	34965
516	37353	34897
517	37417	34817
518	37512	34766
519	37622	34728
520	37709	34669
521	37785	34600
522	37840	34512
523	37912	34440
524	37991	34373
525	38059	34296
526	38120	34214
527	38178	34128
528	38232	34040
529	38307	33971
530	38397	33914
531	38458	33831
532	38525	33755
533	38595	33680
534	38660	33602
535	38729	33526
536	38802	33455
537	38850	33362
538	38905	33275
539	38964	33192
540	39017	33103
541	39081	33024
542	39156	32954
543	39225	32880
544	39279	32792
545	39333	32705
546	39413	32640
547	39474	32559
548	39543	32484
549	39604	32403
550	39695	32347
551	39766	32274
552	39833	32198
553	39882	32107
554	39956	32037
555	40004	31946
556	40080	31877
557	40138	31794
558	40204	31717
559	40257	31631
560	40337	31565
561	40397	31484
562	40467	31410
563	40540	31339
564	40585	31246
565	40652	31172
566	40709	31088
567	40764	31003
568	40821	30921
569	40884	30842
570	40933	30753
571	40980	30663
572	41030	30575
573	41097	30500
574	41139	30407
575	41193	30322
576	41250	30240
577	41312	30162
578	41367	30079
579	41425	29998
580	41495	29925
581	41561	29849
582	41625	29773
583	41702	29706
584	41776	29636
585	41848	29565
586	41916	29491
587	41981	29415
588	42035	29332
589	42103	29258
590	42171	29185
591	42241	29112
592	42294	29028
593	42366	28957
594	42435	28884
595	42486	28799
596	42530	28710
597	42616	28648
598	42687	28577
599	42742	28494
600	42804	28417
601	42876	28346
602	42934	28267
603	42999	28191
604	43093	28135
605	43145	28051
606	43202	27971
607	43299	27916
608	43361	27839
609	43415	27757
610	43469	27675
611	43540	27604
612	43594	27522
613	43669	27453
614	43718	27368
615	43777	27289
616	43858	27225
617	43937	27158
618	44028	27099
619	44082	27018
620	44154	26947
621	44212	26868
622	44268	26788
623	44327	26710
624	44396	26637
625	44449	26555
626	44507	26477
627	44568	26400
628	44818	26435
629	44884	26360
630	44940	26280
631	44985	26193
632	45053	26120
633	45113	26043
634	45182	25971
635	45250	25897
636	45319	25825
637	45406	25763
638	45484	25695
639	45559	25627
640	45629	25555
641	45691	25479
642	45749	25400
643	45823	25330
644	45885	25254
645	45958	25184
646	46003	25099
647	46066	25023
648	46133	24950
649	46197	24875
650	46246	24792
651	46313	24719
652	46373	24642
653	46430	24564
654	46477	24480
655	46566	24419
656	46626	24342
657	46692	24268
658	46741	24186
659	46799	24108
660	46864	24034
661	46929	23961
662	46994	23886
663	47051	23809
664	47126	23740
665	47223	23682
666	47313	23621
667	47406	23561
668	47492	23497
669	47557	23423
670	47636	23356
671	47698	23281
672	47756	23204
673	47838	23138
674	47904	23065
675	47955	22984
676	48043	22921
677	48146	22865
678	48203	22788
679	48253	22707
680	48331	22639
681	48391	22563
682	48451	22487
683	48503	22408
684	48578	22339
685	48671	22278
686	48724	22199
687	48803	22131
688	48872	22060
689	48952	21993
690	49014	21918
691	49073	21841
692	49128	21764
693	49202	21694
694	49316	21642
695	49374	21565
696	49432	21489
697	49530	21430
698	49602	21359
699	49675	21289
700	49735	21213
701	49797	21139
702	49868	21068
703	49961	21006
704	50043	20940
705	50119	20871
706	50184	20797
707	50257	20727
708	50326	20655
709	50408	20589
710	50478	20518
711	50538	20442
712	50593	20365
713	50669	20296
714	50747	20227
715	50804	20151
716	50873	20079
717	50966	20017
718	51030	19943
719	51112	19876
720	51187	19807
721	51250	19733
722	51306	19657
723	51365	19581
724	51420	19504
725	51469	19425
726	51528	19349
727	51592	19276
728	51680	19211
729	51784	19153
730	51864	19085
731	51943	19017
732	52006	18943
733	52099	18880
734	52184	18814
735	52271	18749
736	52341	18678
737	52420	18610
738	52468	18530
739	52515	18451
740	52584	18379
741	52664	18312
742	52723	18236
743	52778	18160
744	52857	18091
745	52934	18023
746	53012	17954
747	53073	17880
748	53168	17817
749	53230	17743
750	53292	17669
751	53338	17590
752	53422	17523
753	53487	17450
754	53551	17377
755	53662	17319
756	53724	17245
757	53784	17171
758	53848	17098
759	53916	17026
760	53986	16954
761	54047	16880
762	54100	16804
763	54172	16733
764	54238	16661
765	54287	16584
766	54363	16514
767	54421	16439
768	54475	16363
769	54550	16294
770	54642	16229
771	54700	16154
772	54780	16086
773	54845	16014
774	54917	15943
775	54993	15874
776	55061	15802
777	55139	15734
778	55198	15659
779	55254	15584
780	55324	15513
781	55394	15442
782	55444	15365
783	55517	15295
784	55596	15226
785	55661	15154
786	55727	15082
787	55785	15008
788	55853	14936
789	55906	14861
790	55961	14786
791	56021	14712
792	56081	14639
793	56130	14562
794	56204	14493
795	56253	14416
796	56314	14343
797	56375	14270
798	56452	14201
799	56520	14130
800	56570	14054
801	56643	13984
802	56703	13910
803	56774	13840
804	56851	13771
805	56933	13703
806	56987	13629
807	57042	13554
808	57113	13484
809	57181	13412
810	57252	13342
811	57336	13274
812	57406	13204
813	57477	13133
814	57534	13060
815	57588	12985
816	57649	12912
817	57709	12839
818	57802	12774
819	57858	12700
820	57912	12626
821	57959	12550
822	58012	12476
823	58073	12404
824	58155	12335
825	58219	12264
826	58274	12190
827	58330	12117
828	58393	12045
829	58462	11974
830	58518	11900
831	58594	11831
832	58660	11760
833	58708	11685
834	58770	11613
835	58845	11543
836	58909	11472
837	58965	11398
838	59015	11324
839	59071	11251
840	59136	11180
841	59203	11109
842	59263	11037
843	59318	10964
844	59364	10889
845	59426	10817
846	59484	10745
847	59521	10668
848	59576	10596
849	59788	10550
850	59838	10477
851	59926	10409
852	59998	10339
853	60114	10277
854	60202	10209
855	60266	10138
856	60322	10065
857	60388	9994
858	60444	9921
859	60498	9848
860	60572	9778
861	60671	9713
862	60735	9641
863	60793	9569
864	60864	9499
865	60918	9426
866	60973	9353
867	61042	9283
868	61106	9211
869	61160	9138
870	61232	9068
871	61286	8996
872	61340	8923
873	61427	8855
874	61487	8783
875	61538	8710
876	61596	8638
877	61648	8566
878	61713	8495
879	61773	8423
880	61850	8354
881	61917	8283
882	61988	8213
883	62054	8142
884	62099	8069
885	62153	7997
886	62218	7926
887	62305	7858
888	62363	7786
889	62428	7715
890	62515	7647
891	62587	7577
892	62673	7509
893	62738	7438
894	62813	7369
895	62888	7299
896	62939	7227
897	63007	7156
898	63075	7086
899	63144	7016
900	63204	6944
901	63275	6874
902	63359	6806
903	63431	6736
904	63510	6666
905	63580	6596
906	63656	6527
907	63738	6458
908	63808	6387
909	63876	6317
910	63958	6248
911	64037	6179
912	64095	6107
913	64197	6040
914	64261	5969
915	64331	5899
916	64386	5827
917	64452	5757
918	64520	5686
919	64573	5615
920	64651	5545
921	64728	5475
922	64794	5405
923	64855	5334
924	64926	5264
925	64993	5193
926	65055	5123
927	65136	5053
928	65196	4982
929	65268	4912
930	65335	4842
931	65385	4770
932	65441	4699
933	65481	4627
934	65529	4555
935	65605	4485
936	65674	4415
937	65729	4344
938	65784	4273
939	65854	4203
940	65925	4133
941	66002	4063
942	66085	3994
943	66144	3923
944	66210	3853
945	66287	3783
946	66358	3713
947	66427	3643
948	66514	3574
949	66628	3506
950	66688	3436
951	66835	3369
952	66911	3299
953	66972	3229
954	67024	3158
955	67085	3087
956	67140	3016
957	67208	2946
958	67267	2875
959	67353	2806
960	67426	2736
961	67492	2666
962	67561	2595
963	67636	2525
964	67722	2456
965	67815	2386
966	67903	2317
967	67977	2247
968	68046	2176
969	68122	2106
970	68180	2036
971	68239	1965
972	68297	1895
973	68388	1825
974	68484	1756
975	68567	1686
976	68658	1616
977	68727	1546
978	68787	1475
979	68866	1405
980	68930	1335
981	68986	1264
982	69037	1193
983	69099	1123
984	69171	1053
985	69223	982
986	69322	913
987	69422	843
988	69477	772
989	69535	702
990	69586	631
991	69649	561
992	69725	491
993	69792	421
994	69875	351
995	69949	280
996	70002	210
997	70073	140
998	70169	70
999	70259	0
