iter	RMSE
0	0.9592385899
1	0.9547487396
2	0.9503041694
3	0.9458697398
4	0.9414593902
5	0.9370989494
6	0.9327319374
7	0.9284001445
8	0.9240657802
9	0.9197928734
10	0.9155263322
11	0.9112617379
12	0.9070279061
13	0.9028186848
14	0.8986224799
15	0.8944497923
16	0.8903043508
17	0.8861740469
18	0.8820577967
19	0.8779753136
20	0.873914313
21	0.8698687833
22	0.8658317661
23	0.8618155882
24	0.8578372837
25	0.8538571931
26	0.8499135142
27	0.8460022315
28	0.8421020877
29	0.8382060384
30	0.8343541922
31	0.8304967477
32	0.8266747575
33	0.8228708378
34	0.8190735697
35	0.8153046121
36	0.8115436337
37	0.8078151507
38	0.8041078638
39	0.8004007622
40	0.7967134094
41	0.7930404259
42	0.7894086279
43	0.7857682518
44	0.7821588318
45	0.7785440623
46	0.7749767935
47	0.7714277094
48	0.7678681657
49	0.7643445735
50	0.7608201738
51	0.7573520483
52	0.7538661865
53	0.7503982228
54	0.746952395
55	0.7435360451
56	0.7401183682
57	0.7367558847
58	0.7333800895
59	0.730048502
60	0.7267018705
61	0.723375027
62	0.7200971899
63	0.7168125132
64	0.7135405546
65	0.7103012456
66	0.7070766269
67	0.7038474551
68	0.7006451535
69	0.6974714561
70	0.6942874535
71	0.691139925
72	0.6879854474
73	0.6848581605
74	0.6817539529
75	0.6786835864
76	0.6755915018
77	0.6725366015
78	0.6695020546
79	0.666478276
80	0.6634605828
81	0.6604418708
82	0.6574612281
83	0.6544967972
84	0.6515538666
85	0.6485963781
86	0.6456749308
87	0.6427532019
88	0.6398647335
89	0.6369874748
90	0.6341255899
91	0.6312736892
92	0.6284208095
93	0.6255979758
94	0.6227715029
95	0.6199603995
96	0.6171653803
97	0.6143855093
98	0.6116232391
99	0.6088656981
100	0.6061184024
101	0.6033942742
102	0.6006793566
103	0.5979984793
104	0.5953028421
105	0.5926424773
106	0.5899794091
107	0.5873299189
108	0.5847281844
109	0.5820984957
110	0.5794624418
111	0.57687357
112	0.5742838212
113	0.5717058005
114	0.569173929
115	0.5666480245
116	0.5641459797
117	0.5616187205
118	0.5591180151
119	0.5566517104
120	0.5541751524
121	0.5517050174
122	0.5492376203
123	0.5467867644
124	0.5443626586
125	0.5419364214
126	0.539546572
127	0.5371502542
128	0.5347968077
129	0.5324258705
130	0.530059201
131	0.52772923
132	0.5254083274
133	0.523069154
134	0.5207259712
135	0.5184341794
136	0.5161377778
137	0.5138624457
138	0.511613278
139	0.5093616535
140	0.5071400685
141	0.5049128233
142	0.5026965272
143	0.5004795427
144	0.4982853689
145	0.4960927268
146	0.4938894119
147	0.4917349819
148	0.4895629246
149	0.487394948
150	0.4852641845
151	0.4831370087
152	0.4810098052
153	0.4788967323
154	0.4767982803
155	0.4747035633
156	0.4726189268
157	0.4705500862
158	0.4684945161
159	0.466457119
160	0.4644096274
161	0.4624185451
162	0.4603871788
163	0.458400931
164	0.4564165264
165	0.4544587331
166	0.4524732759
167	0.4505050364
168	0.4485360632
169	0.4465681215
170	0.4446364529
171	0.442722161
172	0.4408004642
173	0.4388880093
174	0.4370008324
175	0.4351142327
176	0.4332324737
177	0.431347906
178	0.4294994354
179	0.4276413729
180	0.4258032117
181	0.4239756635
182	0.4221498033
183	0.4203483385
184	0.4185419949
185	0.4167428108
186	0.4149612547
187	0.4131825378
188	0.4114514228
189	0.4096725239
190	0.4079552427
191	0.4062130424
192	0.404477056
193	0.4027642443
194	0.4010465891
195	0.3993427698
196	0.3976448477
197	0.3959603412
198	0.3942805866
199	0.3926219405
200	0.3909615601
201	0.3893081677
202	0.3876659388
203	0.386033034
204	0.3843885564
205	0.3827471561
206	0.381104592
207	0.3795154129
208	0.3779328467
209	0.3763304797
210	0.3747593967
211	0.3731820689
212	0.3716273566
213	0.3700670018
214	0.3685369559
215	0.3669919173
216	0.3654312393
217	0.3638935922
218	0.3623508445
219	0.3608416519
220	0.359319537
221	0.3578203839
222	0.3563162117
223	0.3548314033
224	0.3533643881
225	0.3519044347
226	0.3504319588
227	0.348960504
228	0.3474967175
229	0.3460524826
230	0.3446345433
231	0.3432120623
232	0.3417695066
233	0.3403504563
234	0.3389382826
235	0.3375588656
236	0.3361502362
237	0.3347779194
238	0.3333979849
239	0.332015401
240	0.3306490219
241	0.3292680747
242	0.3279065113
243	0.3265571739
244	0.3252246514
245	0.3239125206
246	0.3225800704
247	0.3212718042
248	0.3199573642
249	0.3186392992
250	0.3173216357
251	0.3160291136
252	0.314736971
253	0.3134740283
254	0.3122031135
255	0.3109415734
256	0.3096888599
257	0.3084380339
258	0.3071864201
259	0.3059482745
260	0.3047041951
261	0.3034712131
262	0.302235854
263	0.3010096116
264	0.2998216142
265	0.2986124524
266	0.2974081222
267	0.2962036683
268	0.2950264151
269	0.2938361262
270	0.2926552506
271	0.2914802788
272	0.2903095987
273	0.2891493477
274	0.2879998399
275	0.2868362288
276	0.2857049032
277	0.2845756805
278	0.2834413812
279	0.2823197266
280	0.2811977343
281	0.2800970936
282	0.2789888808
283	0.2778770309
284	0.2767815871
285	0.2756863663
286	0.274585931
287	0.2734988332
288	0.2724309754
289	0.2713480007
290	0.2702764992
291	0.2692190845
292	0.268167958
293	0.2671290262
294	0.2660991247
295	0.2650364717
296	0.2640014815
297	0.2629707293
298	0.2619521577
299	0.260939392
300	0.2599161822
301	0.2589012788
302	0.2579037985
303	0.2569168463
304	0.2559209007
305	0.2549248687
306	0.2539329322
307	0.252969514
308	0.2520042619
309	0.2510486199
310	0.2500786153
311	0.2491199156
312	0.2481715694
313	0.2472061277
314	0.2462643278
315	0.2453083538
316	0.2443595817
317	0.2434108451
318	0.2424782287
319	0.2415399756
320	0.240617803
321	0.239709119
322	0.2388071823
323	0.2379126527
324	0.2369976578
325	0.2361065509
326	0.235199986
327	0.2343045707
328	0.2334340228
